From,To,Length
21,6,0.371980676
21,7,0.349551415
21,8,0.360075914
21,10,0.312111801
21,11,0.31573499
21,12,0.368875086
21,13,0.293478261
21,14,0.24689441
21,15,0.181677019
21,16,0.319358178
21,17,0.359558316
21,18,0.300552105
21,19,0.3436853
21,20,0.322118703
21,22,0.48757764
21,23,0.448930297
21,24,0.462732919
21,25,0.482229124
21,26,0.454278813
21,27,0.424258109
21,28,0.312456867
21,29,0.254830918
21,30,0.285541753
21,31,0.278467909
21,32,0.2605245
21,33,0.304002761
21,34,0.341097308
21,35,0.295721187
21,36,0.335576259
21,37,0.38336784
21,38,0.34679089
21,39,0.366459627
21,40,0.325741891
21,41,0.295548654
21,42,0.290372671
21,43,0.270013803
21,44,0.252933057
21,45,0.241890959
21,46,0.253795721
21,47,0.257246377
21,48,0.23757764
21,49,0.170289855
21,50,0.188750863
21,51,0.184610076
22,1,0.28536922
22,2,0.298826777
22,3,0.289510007
22,4,0.356797792
22,5,0.412180814
22,6,0.371635611
22,7,0.364216701
22,8,0.363871636
22,10,0.333505866
22,11,0.34057971
22,12,0.379572119
22,13,0.321083506
22,14,0.277087647
22,15,0.222567288
22,16,0.347826087
22,17,0.380089717
22,18,0.33436853
22,19,0.365769496
22,20,0.347653554
22,21,0.48757764
22,23,0.414768806
22,24,0.433057281
22,25,0.459972395
22,26,0.427881297
22,27,0.401656315
22,28,0.343167702
22,29,0.279330573
22,30,0.300379572
22,31,0.311594203
22,32,0.281055901
22,33,0.317977916
22,34,0.366287095
22,35,0.332298137
22,36,0.357142857
22,37,0.394409938
22,38,0.361283644
22,39,0.377674258
22,40,0.348861284
22,41,0.311594203
22,42,0.309351277
22,43,0.291235335
22,44,0.272601794
22,45,0.25431332
22,46,0.284679089
22,47,0.276224983
22,48,0.26363009
22,49,0.183919945
22,50,0.200483092
22,51,0.207039337
23,1,0.248274672
23,2,0.299689441
23,3,0.292443064
23,4,0.349551415
23,5,0.332470669
23,6,0.306590752
23,7,0.308833678
23,8,0.313837129
23,10,0.313146998
23,11,0.333850932
23,12,0.397342995
23,13,0.330745342
23,14,0.270876467
23,15,0.201690821
23,16,0.339199448
23,17,0.36042098
23,18,0.322118703
23,19,0.365424431
23,20,0.322463768
23,21,0.448930297
23,22,0.414768806
23,24,0.503278123
23,25,0.4894755
23,26,0.368357488
23,27,0.379399586
23,28,0.306763285
23,29,0.215838509
23,30,0.261387164
23,31,0.244824017
23,32,0.276570048
23,33,0.272429262
23,34,0.333505866
23,35,0.296756384
23,36,0.329537612
23,37,0.361801242
23,38,0.409765355
23,39,0.390441684
23,40,0.365251898
23,41,0.310213941
